harp,106,violin,71
harp,121,piano,466
harp,87,guitar,372
guitar,308,harp,343
guitar,385,piano,191
harp,459,piano,313
piano,560,violin,474
guitar,475,harp,189
guitar,562,violin,566
harp,484,piano,20
violin,387,harp,315
guitar,345,piano,564
guitar,454,violin,427
harp,205,violin,80
guitar,387,piano,1
guitar,105,piano,476
guitar,555,violin,161
guitar,269,piano,270
piano,251,guitar,295
piano,52,harp,216
harp,156,piano,14
harp,520,piano,343
harp,498,violin,592
harp,288,guitar,378
piano,40,violin,27
violin,32,harp,47
guitar,98,harp,546
harp,461,violin,4
violin,397,guitar,392
guitar,553,harp,460
guitar,240,harp,563
piano,406,violin,230
harp,540,violin,35
harp,242,violin,85
guitar,556,piano,573
piano,27,harp,555
guitar,330,piano,505
harp,189,violin,224
harp,258,piano,358
violin,317,guitar,224
guitar,373,violin,471
piano,496,harp,441
piano,385,guitar,386
harp,80,piano,112
guitar,565,piano,224
violin,129,harp,52
guitar,415,piano,246
harp,183,guitar,122
violin,279,harp,197
violin,143,guitar,200
guitar,463,harp,348
guitar,402,harp,345
harp,147,guitar,488
violin,472,harp,150
guitar,262,violin,143
piano,571,violin,1
violin,452,piano,36
harp,8,guitar,232
guitar,207,harp,130
guitar,586,piano,419
piano,111,guitar,509
harp,337,violin,162
harp,160,piano,579
piano,503,violin,391
harp,32,guitar,459
guitar,374,harp,21
guitar,229,piano,364
guitar,282,violin,26
piano,283,violin,480
piano,515,harp,546
piano,16,harp,171
piano,45,guitar,372
guitar,36,violin,279
piano,180,harp,98
piano,190,harp,252
harp,255,violin,322
piano,565,guitar,569
guitar,287,violin,154
guitar,103,piano,392
guitar,38,violin,476
guitar,407,violin,524
piano,35,guitar,19
violin,470,piano,142
guitar,50,piano,574
piano,313,violin,569
piano,53,violin,443
piano,52,harp,571
harp,195,piano,349
harp,268,guitar,369
guitar,119,piano,57
violin,473,guitar,116
violin,392,guitar,57
violin,95,piano,117
piano,236,harp,271
violin,446,harp,580
violin,75,piano,153
harp,85,guitar,284
violin,93,piano,452
guitar,431,piano,340
violin,356,harp,22
guitar,99,piano,179
guitar,441,violin,324
violin,496,harp,159
violin,379,guitar,544
harp,426,piano,267
harp,167,violin,42
harp,11,piano,301
violin,34,piano,89
piano,417,harp,114
violin,500,harp,492
violin,419,harp,276
piano,393,harp,456
harp,98,guitar,547
violin,95,piano,189
piano,368,harp,524
harp,272,violin,61
piano,396,harp,18
harp,75,piano,264
violin,383,guitar,563
violin,143,guitar,68
violin,468,harp,483
violin,568,harp,38
piano,185,harp,397
violin,162,guitar,214
harp,587,violin,8
guitar,252,piano,229
violin,167,guitar,169
piano,193,violin,516
piano,338,harp,495
piano,499,harp,510
harp,131,violin,69
harp,444,guitar,181
guitar,530,harp,38
violin,219,guitar,57
harp,360,piano,0
violin,189,harp,504
harp,116,violin,133
piano,172,violin,148
piano,202,guitar,228
harp,531,guitar,440
violin,304,guitar,525
harp,372,guitar,565
guitar,470,violin,11
guitar,407,piano,372
guitar,89,piano,315
violin,501,piano,144
harp,460,piano,557
violin,593,harp,255
harp,449,violin,9
guitar,250,piano,4
violin,64,harp,145
harp,281,guitar,62
piano,460,violin,104
harp,404,guitar,517
harp,436,piano,22
harp,457,piano,82
piano,456,harp,0
harp,445,violin,448
violin,94,piano,71
guitar,437,violin,117
guitar,267,harp,53
piano,400,harp,302
harp,577,guitar,74
guitar,305,harp,97
piano,434,guitar,446
piano,480,violin,334
piano,105,guitar,562
harp,137,piano,183
piano,507,violin,68
piano,449,guitar,204
violin,110,guitar,182
harp,373,guitar,519
harp,194,piano,92
piano,50,guitar,402
piano,533,harp,404
violin,232,piano,523
guitar,77,piano,72
violin,120,piano,213
violin,47,guitar,572
violin,256,piano,7
harp,302,violin,55
guitar,27,piano,77
piano,525,guitar,311
harp,362,guitar,507
violin,14,piano,191
harp,27,violin,38
harp,85,piano,473
violin,524,piano,211
piano,232,violin,108
guitar,110,violin,469
guitar,368,violin,594
violin,517,piano,281
piano,314,guitar,376
piano,276,harp,581
violin,445,guitar,349
harp,242,guitar,542
piano,222,harp,5
guitar,117,violin,503
guitar,440,violin,193
guitar,25,harp,434
piano,409,harp,117
guitar,224,harp,531
harp,89,violin,319
piano,138,violin,510
harp,258,piano,9
violin,171,harp,12
guitar,320,piano,318
harp,549,piano,418
violin,580,guitar,317
guitar,375,piano,458
violin,546,piano,512
guitar,348,piano,228
piano,164,guitar,4
guitar,409,harp,573
harp,41,piano,88
guitar,525,violin,421
harp,142,violin,144
harp,103,violin,38
guitar,578,violin,390
guitar,499,violin,14
harp,477,violin,230
violin,440,harp,96
harp,288,piano,253
guitar,521,piano,516
violin,117,guitar,158
violin,14,harp,156
harp,46,piano,323
piano,410,harp,94
guitar,291,harp,282
violin,549,harp,133
harp,345,guitar,301
violin,209,guitar,459
piano,126,harp,105
violin,50,harp,28
piano,406,violin,404
guitar,181,piano,0
violin,370,guitar,430
harp,201,piano,435
piano,574,harp,243
piano,385,violin,209
violin,528,guitar,178
violin,179,piano,500
harp,284,piano,62
guitar,155,violin,468
harp,83,violin,360
violin,475,piano,62
harp,140,piano,214
guitar,317,harp,31
violin,428,piano,476
guitar,589,violin,370
guitar,501,violin,112
guitar,263,piano,54
guitar,457,harp,161
harp,54,piano,475
piano,348,guitar,7
harp,442,piano,327
violin,228,piano,578
violin,263,harp,417
guitar,119,violin,490
piano,468,harp,6
violin,150,guitar,84
harp,547,violin,284
guitar,522,piano,385
harp,395,guitar,531
piano,255,harp,225
violin,505,harp,363
piano,157,harp,58
guitar,114,violin,208
piano,236,violin,280
violin,277,harp,234
guitar,28,piano,108
violin,74,guitar,145
piano,355,harp,40
piano,152,guitar,377
harp,341,guitar,26
violin,167,harp,267
harp,454,piano,400
piano,557,violin,575
piano,291,guitar,370
violin,295,piano,10
harp,226,piano,309
violin,405,guitar,68
piano,547,harp,147
guitar,490,harp,506
violin,200,harp,153
violin,295,piano,16
harp,41,piano,24
harp,497,guitar,228
guitar,101,harp,523
violin,16,harp,329
harp,11,violin,317
guitar,80,harp,484
guitar,536,piano,465
harp,488,violin,537
guitar,400,violin,85
guitar,334,violin,518
violin,497,harp,476
guitar,371,violin,401
violin,272,guitar,525
guitar,187,harp,97
harp,182,violin,363
guitar,496,harp,515
piano,396,violin,160
piano,107,harp,449
guitar,545,harp,413
harp,140,guitar,273
harp,38,guitar,28
violin,317,piano,244
piano,439,harp,238
violin,358,piano,339
piano,2,harp,428
guitar,323,piano,145
violin,431,piano,584
harp,343,violin,139
violin,60,guitar,379
guitar,318,violin,301
guitar,225,harp,152
guitar,574,harp,309
harp,365,violin,329
violin,217,guitar,505
violin,53,guitar,46
harp,98,violin,19
violin,489,piano,418
guitar,144,piano,215
guitar,119,harp,88
piano,266,violin,322
harp,194,violin,331
violin,39,piano,536
harp,225,violin,123
guitar,250,violin,175
guitar,36,piano,315
piano,592,harp,113
piano,317,harp,348
violin,567,guitar,39
violin,288,guitar,261
guitar,167,harp,91
harp,362,violin,556
piano,355,harp,190
guitar,6,violin,132
violin,30,harp,534
guitar,362,piano,436
violin,81,guitar,355
piano,523,guitar,294
piano,112,violin,232
violin,447,harp,364
violin,413,guitar,454
piano,411,violin,571
violin,277,guitar,195
guitar,191,piano,16
piano,21,guitar,473
guitar,305,harp,269
harp,226,guitar,380
harp,32,guitar,78
harp,569,guitar,537
guitar,284,piano,515
harp,488,violin,38
harp,156,guitar,74
piano,83,guitar,21
harp,381,guitar,439
harp,302,piano,83
violin,452,guitar,386
violin,526,harp,161
violin,523,harp,270
guitar,59,harp,429
harp,308,piano,519
guitar,561,harp,198
violin,535,harp,377
violin,152,guitar,205
violin,235,harp,520
piano,500,violin,116
guitar,71,violin,273
guitar,494,piano,165
harp,101,guitar,424
guitar,87,harp,552
piano,462,harp,591
guitar,241,piano,1
harp,588,piano,115
piano,193,guitar,165
guitar,121,violin,142
piano,427,guitar,304
harp,8,guitar,72
guitar,552,harp,369
guitar,317,piano,83
violin,382,guitar,6
guitar,21,violin,409
harp,13,guitar,11
harp,300,violin,242
violin,355,guitar,308
guitar,593,harp,548
harp,34,piano,444
piano,206,violin,352
violin,158,harp,23
piano,363,harp,381
piano,419,guitar,249
violin,577,piano,334
piano,370,guitar,185
piano,236,violin,529
harp,519,piano,99
piano,297,guitar,525
piano,292,guitar,552
guitar,380,piano,13
harp,83,guitar,129
violin,27,guitar,65
harp,448,violin,423
harp,302,piano,286
violin,269,guitar,591
piano,360,violin,256
violin,512,harp,312
guitar,283,piano,120
harp,203,violin,164
piano,555,harp,155
guitar,250,harp,333
violin,292,piano,19
violin,118,piano,34
violin,58,piano,160
violin,11,harp,489
piano,215,harp,250
guitar,216,violin,305
harp,222,piano,183
guitar,427,harp,293
guitar,307,harp,335
guitar,374,piano,7
violin,351,piano,357
violin,174,harp,192
guitar,426,harp,413
piano,537,guitar,302
piano,344,harp,0
guitar,52,harp,303
piano,219,harp,574
harp,88,piano,584
harp,488,piano,323
piano,493,violin,18
guitar,396,piano,278
harp,343,violin,454
harp,64,piano,75
violin,472,guitar,416
harp,101,piano,266
guitar,2,violin,84
guitar,220,piano,153
piano,303,harp,292
harp,342,guitar,325
guitar,426,piano,20
harp,335,guitar,116
harp,50,guitar,323
piano,333,harp,372
piano,155,guitar,290
guitar,1,piano,588
piano,349,guitar,458
guitar,585,harp,38
harp,311,violin,240
piano,35,violin,83
piano,384,guitar,171
piano,558,harp,140
guitar,276,violin,219
piano,9,violin,377
piano,583,harp,151
piano,292,harp,579
guitar,59,violin,166
piano,438,violin,241
harp,482,violin,107
violin,431,piano,418
guitar,522,harp,589
harp,253,piano,319
harp,553,guitar,373
harp,458,violin,279
piano,579,guitar,217
guitar,166,piano,35
harp,72,piano,352
violin,560,guitar,516
guitar,148,harp,229
piano,380,guitar,57
guitar,129,violin,171
piano,353,guitar,470
guitar,441,piano,547
harp,286,piano,302
violin,445,harp,54
piano,514,harp,541
violin,103,harp,516
harp,285,piano,148
guitar,455,piano,160
violin,508,piano,480
violin,577,guitar,360
piano,448,violin,179
guitar,195,violin,465
violin,405,guitar,142
piano,489,violin,11
violin,593,harp,428
guitar,461,violin,133
guitar,525,harp,72
harp,577,violin,129
guitar,265,violin,536
violin,288,piano,163
violin,109,guitar,335
piano,435,guitar,482
piano,116,violin,481
piano,536,harp,78
piano,11,harp,127
harp,531,piano,446
violin,253,piano,129
harp,286,guitar,516
guitar,344,violin,381
violin,55,guitar,462
harp,98,violin,148
violin,262,piano,79
piano,551,harp,100
violin,419,harp,123
guitar,62,violin,484
guitar,482,harp,518
guitar,454,violin,597
piano,385,violin,573
violin,590,harp,470
violin,64,guitar,12
violin,492,piano,212
piano,172,violin,163
harp,394,violin,307
harp,509,guitar,545
guitar,226,piano,435
violin,20,piano,553
harp,191,piano,16
harp,128,piano,129
harp,9,piano,241
piano,199,violin,78
violin,172,harp,466
harp,100,piano,7
harp,42,piano,384
violin,482,harp,16
piano,365,harp,227
harp,390,guitar,498
harp,441,guitar,260
violin,351,piano,519
guitar,367,piano,219
violin,359,harp,328
guitar,560,violin,381
piano,168,guitar,216
guitar,369,violin,148
guitar,373,harp,159
violin,521,guitar,272
piano,487,guitar,123
piano,413,violin,171
guitar,112,harp,121
piano,38,guitar,496
harp,529,piano,148
piano,301,violin,359
violin,235,guitar,202
guitar,234,piano,344
violin,465,piano,540
violin,282,harp,561
harp,406,guitar,87
piano,420,harp,352
harp,18,guitar,22
piano,107,violin,366
harp,135,piano,361
piano,260,violin,514
violin,490,harp,472
piano,301,violin,230
guitar,111,harp,12
violin,313,piano,565
piano,13,harp,417
piano,586,harp,69
harp,131,guitar,380
guitar,226,piano,153
piano,404,violin,201
guitar,187,piano,56
harp,582,piano,515
piano,335,violin,54
guitar,161,piano,593
guitar,59,harp,318
guitar,108,violin,75
guitar,116,piano,18
piano,349,harp,182
harp,145,violin,112
harp,117,guitar,160
violin,46,piano,398
guitar,123,violin,74
violin,399,harp,504
piano,49,harp,253
piano,562,violin,425
guitar,580,violin,348
piano,48,harp,73
piano,581,harp,259
violin,312,guitar,181
violin,595,piano,547
violin,413,piano,341
harp,219,guitar,269
guitar,399,piano,181
violin,204,guitar,581
harp,227,piano,595
piano,440,guitar,532
piano,518,guitar,69
guitar,202,harp,147
guitar,198,harp,425
piano,164,guitar,313
piano,130,violin,598
piano,304,violin,370
piano,444,harp,424
piano,489,violin,326
